imdb_title_id,title,original_title,Combined,Poster
tt0044392,Baiju Bawra,Baiju Bawra,Baiju Bawra  Drama  Musical  Romance Vijay Bhatt  R S  Choudhury  R S  Choudhury  Meena Kumari  Bharat Bhushan  Surendra  Kuldip Kaur  Bipin Gupta  Manmohan Krishna  B M  Vyas  Mishra  Radhakrishan  Kesari  Rajan Haksar  Tabassum  Rai Mohan  Bhagwanji  Nadir  A young singer  in the time of Emperor Akbar the Great  sets out to avenge his father  killed in a disturbance near the house of a member of the Court ,https://image.tmdb.org/t/p/original/wSe5BcNqJRJUdT9W99XJeZd4lgX.jpg
tt0044527,Daag,Daag,Daag  Drama  Romance Amiya Chakrabarty  Rajinder Singh Bedi  Amiya Chakrabarty  Dilip Kumar  Nimmi  Usha Kiran  Lalita Pawar  Kanhaiyalal Chaturvedi  Jawahar Kaul  Leela Mishra  C S  Dubey  Krishnakant  Laxman Rao  Living a poor lifestyle with his widowed mother  Shankar sells toys for a living  but is addicted to alcohol  He is attracted to Parvati  who also lives a poor lifestyle along with her    ,https://image.tmdb.org/t/p/original/5YchYrOMGAhMifoOvd7uL0WX0IC.jpg
tt0044761,Jaal,Jaal,Jaal  Crime  Thriller Guru Dutt  Guru Dutt  Dev Anand  Geeta Bali  K N  Singh  Johnny Walker  Rashid Khan  Purnima  Krishna Kumari  Ram Singh  Raj Matwala  After losing his vision during a storm  Carlos lives with his sister  Maria  off of the Indian coast in a fishing village  One day a mysterious young woman  Lisa  enters their lives     ,https://image.tmdb.org/t/p/original/5YzDU3J6fIUZ583L6a8kIxT72ZM.jpg
tt0044778,I giganti della giungla,The Jungle,The Jungle  Adventure  Drama William Berke  Carroll Young  Orville H  Hampton  Rod Cameron  Cesar Romero  Marie Windsor  Ruby Mayer  M N  Nambiar  David Abraham  Ramakrishna  Chitra Devi  A great white hunter and an Indian princess trek into the Indian jungle to investigate a number of wild animal stampedes which have resulted in the deaths of many people  On their journey     ,https://image.tmdb.org/t/p/original/7aMBrmbkllotCZd6vINlVgnSJ3K.jpg
tt0044952,Nagarik,Nagarik,Nagarik  Drama Ritwik Ghatak  Ritwik Ghatak  Ajit Banerjee  Kali Bannerjee  Gangapada Basu  Satindra Bhattacharya  Umanath Bhattacharya  Parijat Bose  Anil Chatterjee  Ketaki Dutta  Anil Ghosh  Mumtaz Ahmed Khan  Keshto Mukherjee  Shriman Pintoo  Prabhadevi  Sova Sen  Geeta Shome  Ramu eldest son a family of migrants to Calcutta is a fresh graduate searching for a job like many others in post-Partition Calcutta ,https://image.tmdb.org/t/p/original/eJUkCd6O4raBsjsrjGflmyhSZXx.jpg
tt0045467,Aah,Aah,Aah  Drama  Musical  Romance Raja Nawathe  Inder Raj Anand  Inder Raj Anand  Nargis  Raj Kapoor  Vijayalaxmi  Pran  Ramesh Sinha  Bhupendra Kapoor  Leela Mishra  Rashid Khan  Sohanlal  Kusum  Mukesh  Allahabad-based Raj Raibahadur lives a wealthy lifestyle with his widowed businessman dad  His mom had passed away  a victim to tuberculosis  compelling his anxious dad to keep him away    ,https://image.tmdb.org/t/p/original/8VeDZPM1kty22jcDdHrNkIcovvF.jpg
tt0045693,Due ettari di terra,Do Bigha Zamin,Do Bigha Zamin  Drama Bimal Roy  Salil Choudhury  Paul Mahendra  Balraj Sahni  Nirupa Roy  Rattan Kumar  Murad  Rajlakshmi Devi  Nana Palsikar  Noor  Nasir Hussain  Rekha Mallick  Misra  Chitra  Jagdeep  Sarita Devi  Dilip Kumar Jr   Tiwari  In the hope of earning enough money to pay off his debts and save his land  a poor farmer becomes a rickshaw puller in the Calcutta and faces many difficulties ,https://image.tmdb.org/t/p/original/uFCgOvfHfqRd6N4fBXqaSKS9Rlm.jpg
tt0046164,Parineeta,Parineeta,Parineeta  Drama  Romance Bimal Roy  Moni Bhattacharjee  Saratchandra Chatterjee  Ashok Kumar  Meena Kumari  Asitbaran  Sheila Kashmiri  Nasir Hussain  Badri Prasad  Pratima Devi  Rekha Mallick  Manju  Manorama  Shelley Bannerjee  Naina  Sarita  G  Vaid  Bhupendra Kapoor  Love blossoms between the son of wealthy man and his middle class neighbor  But their romance is put to the test both by a feud between the families and by the entrance of a rival for the girl's affection ,https://image.tmdb.org/t/p/original/gAzin27BJYfZC1TCqeveJIIh09Q.jpg
tt0046673,Aar-Paar,Aar-Paar,Aar-Paar  Musical  Romance  Thriller Guru Dutt  Abrar Alvi  Nabendu Ghosh  Shyama  Guru Dutt  Jagdish Sethi  Johnny Walker  Jagdeep  Shakila  Bir Sakuja  Rajendra  Amir Banu  Rashid Khan  M A  Latif  An ex-convict gets a job as a taxi driver to change his girlfriend's prejudiced father's view of him  and becomes embroiled with a criminal gang in the process ,https://image.tmdb.org/t/p/original/nvhg6l3vvw9Sv4hzevG8SwFS27t.jpg
tt0046703,Amar,Amar,Amar  Drama  Musical  Romance Mehboob Khan  S K  Kalla  Agha Jani Kashmiri  Madhubala  Nimmi  Dilip Kumar  Jayant  Ulhas  Mukri  Husn Banu  Amar  Siddiqui  Murad  Pandey  Haroon  Agha Miraz  Shakeel Nomani  Shahin  Anju Rai lives a wealthy lifestyle with her widowed dad in a palatial house  She is now of marriageable age  and her dad has arranged her marriage with Advocate Amarnath  Both Anju and    ,https://image.tmdb.org/t/p/original/z96shLPEej9Oj0O00SFAUiLLq7N.jpg
